UserAgent,Parent,Browser,Version,MajorVersion,MinorVersion,Platform,AuthenticodeUpdate,CSSVersion,Frames,IFrames,Tables,Cookies,BackgroundSounds,VBScript,JavaScript,JavaApplets,ActiveXControls,CDF,AOL,Beta,Win16,Crawler,Stripper,WAP,NetCLR
[Mozilla/4.0 (compatible; MSIE 5.0*;*AOL *Windows 95*.NET CLR*)*],IE 5.0,,,,,Win95,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,true
[Mozilla/4.0 (compatible; MSIE 5.0*;*AOL *Windows 98*)*],IE 5.0,,,,,Win98,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,true
[Mozilla/4.0 (compatible; MSIE 5.0*;*AOL *Windows 98*.NET CLR*)*],IE 5.0,,,,,Win98,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,true
[Mozilla/4.0 (compatible; MSIE 5.0*;*AOL *Windows 98; Win 9x 4.90*)*],IE 5.0,,,,,WinME,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,true
[Mozilla/4.0 (compatible; MSIE 5.0*;*AOL *Windows 98; Win 9x 4.90*.NET CLR*)*],IE 5.0,,,,,WinME,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,true
[Mozilla/4.0 (compatible; MSIE 5.0*;*AOL *Windows NT 4.0*)*],IE 5.0,,,,,WinNT,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,true
[Mozilla/4.0 (compatible; MSIE 5.0*;*AOL *Windows NT 4.0*.NET CLR*)*],IE 5.0,,,,,WinNT,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,true
[Mozilla/4.0 (compatible; MSIE 5.0*;*AOL *Windows NT 5.0*)*],IE 5.0,,,,,Win2000,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,true
[Mozilla/4.0 (compatible; MSIE 5.0*;*AOL *Windows NT 5.0*.NET CLR*)*],IE 5.0,,,,,Win2000,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,true
[Mozilla/4.0 (compatible; MSIE 5.0*;*AOL *Windows NT 5.1*)*],IE 5.0,,,,,WinXP,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,true
[Mozilla/4.0 (compatible; MSIE 5.0*;*AOL *Windows NT 5.1*.NET CLR*)*],IE 5.0,,,,,WinXP,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,true
[Mozilla/4.0 (compatible; MSIE 5.0*;*AOL *Windows NT*)*],IE 5.0,,,,,WinNT,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,true
[Mozilla/4.0 (compatible; MSIE 5.0*;*AOL *Windows NT*.NET CLR*)*],IE 5.0,,,,,WinNT,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,true
[Mozilla/4.0 (compatible; MSIE 5.0*;*AOL *Windows XP*)*],IE 5.0,,,,,WinXP,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,true
[Mozilla/4.0 (compatible; MSIE 5.0*;*AOL *Windows XP*)*],IE 5.0,,,,,WinXP,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,true
[Mozilla/4.0 (compatible; MSIE 5.0*;*Win 9x 4.90*)*],IE 5.0,,,,,WinME,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; MSIE 5.0*;*Win 9x 4.90*.NET CLR*)*],IE 5.0,,,,,WinME,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; MSIE 5.0*;*Win32*)*],IE 5.0,,,,,Win32,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; MSIE 5.0*;*Win32*.NET CLR*)*],IE 5.0,,,,,Win32,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; MSIE 5.0*;*Windows 95*)*],IE 5.0,,,,,Win95,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; MSIE 5.0*;*Windows 95*.NET CLR*)*],IE 5.0,,,,,Win95,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; MSIE 5.0*;*Windows 98*)*],IE 5.0,,,,,Win98,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; MSIE 5.0*;*Windows 98*.NET CLR*)*],IE 5.0,,,,,Win98,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; MSIE 5.0*;*Windows 98; Win 9x 4.90*)*],IE 5.0,,,,,Win98,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; MSIE 5.0*;*Windows 98; Win 9x 4.90*.NET CLR*)*],IE 5.0,,,,,Win98,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; MSIE 5.0*;*Windows NT 4.0*)*],IE 5.0,,,,,WinNT,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; MSIE 5.0*;*Windows NT 4.0*.NET CLR*)*],IE 5.0,,,,,WinNT,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; MSIE 5.0*;*Windows NT 5.0*)*],IE 5.0,,,,,Win2000,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; MSIE 5.0*;*Windows NT 5.0*.NET CLR*)*],IE 5.0,,,,,Win2000,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
[Mozilla/4.0 (compatible; MSIE 5.0*;*Windows NT 5.1*)*],IE 5.0,,,,,WinXP,,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
